symbol,carrier_code,name,address_1,city,state,zip,country,phone,email,contact_name,avg_daily_volume,service_region,dot_number,mc_number,fleet_size,insurance_expiry,rating,status,payment_terms,specialties,last_shipment_date,onboarded_date
SHP-AX7291,FEDX,Apex Freight Solutions,4500 Distribution Way,Memphis,TN,38118,US,901-555-0324,dispatch@apexfreight.com,Carlos Mendez,215,national,1284567,MC-482910,87,2025-06-30,4.7,active,net-30,LTL/FTL/Refrigerated,2024-11-02,2019-04-15
SHP-BK4018,UPSN,BlueLine Carriers Inc,1820 Terminal Blvd,Louisville,KY,40213,US,502-555-0891,ops@bluelinecarriers.com,Diane Foss,342,national,1398201,MC-551203,145,2025-09-15,4.9,active,net-15,Parcel/LTL/White Glove,2024-11-03,2018-01-22
SHP-CN6532,USPS,ClearPath Logistics,7890 Commerce Park Dr,Columbus,OH,43219,US,614-555-0476,bookings@clearpath-log.com,Mike Tanaka,89,midwest,1045832,MC-339471,32,2025-03-28,4.2,active,net-30,Flatbed/Oversized,2024-10-29,2021-08-10
SHP-DR9174,FDEG,Delta Route Express,2100 Airway Blvd,Fort Worth,TX,76106,US,817-555-0233,service@deltaroute.com,Angela Price,178,south-central,1521009,MC-610284,64,2025-11-12,4.5,active,net-45,Expedited/Same-Day,2024-11-01,2020-03-07
SHP-EL2847,SAIA,EverGreen Shipping Co,600 Harbor Gateway,Long Beach,CA,90802,US,562-555-0715,freight@evergreensc.com,Jason Park,410,west-coast,1102384,MC-412098,112,2025-08-20,4.8,active,net-30,Intermodal/Drayage/Ocean,2024-11-03,2017-11-30
SHP-FM5093,ODFL,Falcon Motor Lines,3355 Industrial Loop,Charlotte,NC,28208,US,704-555-0168,dispatch@falconmotor.com,Brenda Collins,156,southeast,1287456,MC-487321,53,2025-04-10,4.3,active,net-30,LTL/Regional,2024-10-31,2022-02-14
SHP-GH8361,RLCA,GreenHawk Transport,9100 Freight Corridor,Kansas City,MO,64153,US,816-555-0542,loads@greenhawk.com,Steve Rutherford,267,central,1435678,MC-572190,91,2025-07-25,4.6,active,net-15,Dry Van/Reefer,2024-11-02,2019-09-03
SHP-JK1206,XPOL,JetStream Parcel Corp,450 Express Terminal,Indianapolis,IN,46241,US,317-555-0897,support@jetstreamparcel.com,Nina Volkov,523,national,1567890,MC-634521,203,2025-12-01,4.4,active,net-30,Parcel/Last-Mile,2024-11-03,2020-06-18
SHP-LM4579,ABFS,Lakeshore Moving & Storage,1275 Dock St,Milwaukee,WI,53204,US,414-555-0321,moves@lakeshorems.com,Tom Andersen,45,great-lakes,1098234,MC-298745,18,2025-05-15,4.1,active,net-60,Household/Commercial Moving,2024-10-22,2023-01-09
SHP-NP7834,CNWY,NorthPoint Carriers,5600 Arctic Blvd,Anchorage,AK,99518,US,907-555-0684,freight@northpointcarr.com,Bill Kowalski,38,alaska-hawaii,1623401,MC-701234,22,2025-10-08,4.0,active,net-45,Remote/Cold Chain,2024-10-18,2021-05-27
SHP-QR2468,ESTES,QuickRelay Logistics,880 Turnpike Plaza,Edison,NJ,08817,US,732-555-0453,ops@quickrelay.com,Maria Gutierrez,312,northeast,1345012,MC-523098,78,2025-02-28,4.7,active,net-15,Expedited/Cross-Border,2024-11-01,2019-12-11
SHP-ST5791,PITD,SilverTrail Freight,2400 Mountain View Rd,Salt Lake City,UT,84116,US,801-555-0927,dispatch@silvertrail.com,Kevin O'Malley,134,mountain-west,1456123,MC-589012,47,2025-08-05,4.3,active,net-30,Hazmat/Tanker,2024-10-30,2022-07-20
